Name,My Rating,Genres,Studio
"""Oshi no Ko""",8,"['Drama', 'Supernatural', 'Reincarnation', 'Showbiz', 'Seinen', ' ', ' ', ' ']",Doga Kobo
Another,6,"['Horror', 'Mystery', 'Supernatural', 'Gore', 'School', ' ', ' ', ' ']",P.A. Works
Baccano!,9,"['Action', 'Comedy', 'Mystery', 'Supernatural', 'Historical', 'Organized Crime', ' ', ' ']",Brain's Base
Bakemonogatari,8,"['Mystery', 'Romance', 'Supernatural', 'Vampire', ' ', ' ', ' ', ' ']",Shaft
Banana Fish,8,"['Action', 'Adventure', 'Drama', 'Suspense', 'Delinquents', 'Organized Crime', 'Psychological', 'Shoujo']",MAPPA
Blue Lock,7,"['Sports', 'Team Sports', 'Shounen', ' ', ' ', ' ', ' ', ' ']",8bit
Bocchi the Rock!,7,"['Comedy', 'CGDCT', 'Music', ' ', ' ', ' ', ' ', ' ']",CloverWorks
Boku dake ga Inai Machi,5,"['Mystery', 'Supernatural', 'Suspense', 'Psychological', 'Time Travel', 'Seinen', ' ', ' ']",A-1 Pictures
Byousoku 5 Centimeter,7,"['Drama', 'Romance', ' ', ' ', ' ', ' ', ' ', ' ']",CoMix Wave Films
Chainsaw Man,8,"['Action', 'Fantasy', 'Gore', 'Shounen', ' ', ' ', ' ', ' ']",MAPPA
Code Geass: Hangyaku no Lelouch,8,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'School', 'Super Power']",Sunrise
Code Geass: Hangyaku no Lelouch R2,9,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Military', 'Super Power', ' ']",Sunrise
Cowboy Bebop,9,"['Action', 'Award Winning', 'Sci-Fi', 'Adult Cast', 'Space', ' ', ' ', ' ']",Sunrise
Cyberpunk: Edgerunners,8,"['Action', 'Sci-Fi', 'Gore', 'Psychological', ' ', ' ', ' ', ' ']",Trigger
Death Note,8,"['Supernatural', 'Suspense', 'Detective', 'Psychological', 'Shounen', ' ', ' ', ' ']",Madhouse
Death Parade,8,"['Drama', 'Supernatural', 'Suspense', 'Adult Cast', 'High Stakes Game', 'Psychological', ' ', ' ']",Madhouse
Dr. Stone,6,"['Adventure', 'Comedy', 'Sci-Fi', 'Survival', 'Time Travel', 'Shounen', ' ', ' ']",TMS Entertainment
Dr. Stone: Stone Wars,5,"['Adventure', 'Comedy', 'Sci-Fi', 'Survival', 'Time Travel', 'Shounen', ' ', ' ']",TMS Entertainment
Dragon Ball GT,4,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Super Power', 'Shounen', ' ']",Toei Animation
Dragon Ball Super,6,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Super Power', 'Shounen', ' ']",Toei Animation
Dragon Ball Super: Broly,5,"['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Super Power', 'Shounen', ' ', ' ']",Toei Animation
Dragon Ball Z,7,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Super Power', 'Shounen', ' ']",Toei Animation
Evangelion: 1.0 You Are (Not) Alone,7,"['Action', 'Award Winning', 'Drama', 'Sci-Fi', 'Mecha', 'Psychological', ' ', ' ']",Khara
Evangelion: 2.0 You Can (Not) Advance,8,"['Action', 'Drama', 'Sci-Fi', 'Mecha', 'Psychological', ' ', ' ', ' ']",Khara
Fate/Zero,7,"['Action', 'Fantasy', 'Supernatural', ' ', ' ', ' ', ' ', ' ']",ufotable
FLCL,8,"['Action', 'Avant Garde', 'Comedy', 'Sci-Fi', 'Mecha', 'Parody', 'Psychological', ' ']",Gainax
Golden Boy,9,"['Adventure', 'Comedy', 'Ecchi', 'Adult Cast', 'Gag Humor', 'Workplace', 'Seinen', ' ']",APPP
Grand Blue,7,"['Comedy', 'Adult Cast', 'Seinen', ' ', ' ', ' ', ' ', ' ']",Zero-G
Grappler Baki (TV),7,"['Sports', 'Combat Sports', 'Gore', 'Shounen', ' ', ' ', ' ', ' ']",Group TAC
Great Pretender,7,"['Action', 'Adventure', 'Mystery', 'Adult Cast', ' ', ' ', ' ', ' ']",Wit Studio
Great Teacher Onizuka,9,"['Comedy', 'Delinquents', 'School', 'Workplace', 'Shounen', ' ', ' ', ' ']",Pierrot
Haikyuu!!,6,"['Sports', 'School', 'Team Sports', 'Shounen', ' ', ' ', ' ', ' ']",Production I.G
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,7,"['Sports', 'School', 'Team Sports', 'Shounen', ' ', ' ', ' ', ' ']",Production I.G
Haikyuu!! Second Season,7,"['Sports', 'School', 'Team Sports', 'Shounen', ' ', ' ', ' ', ' ']",Production I.G
Haikyuu!! To the Top,7,"['Sports', 'School', 'Team Sports', 'Shounen', ' ', ' ', ' ', ' ']",Production I.G
Haikyuu!! To the Top Part 2,6,"['Sports', 'School', 'Team Sports', 'Shounen', ' ', ' ', ' ', ' ']",Production I.G
Hellsing Ultimate,8,"['Action', 'Horror', 'Supernatural', 'Adult Cast', 'Gore', 'Military', 'Vampire', 'Seinen']",Madhouse
High School DxD,4,"['Comedy', 'Romance', 'Ecchi', 'Harem', 'Mythology', 'School', ' ', ' ']",TNK
Horimiya,7,"['Romance', 'School', 'Shounen', ' ', ' ', ' ', ' ', ' ']",CloverWorks
Hunter x Hunter (2011),10,"['Action', 'Adventure', 'Fantasy', 'Shounen', ' ', ' ', ' ', ' ']",Madhouse
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,9,"['Adventure', 'Drama', 'Sci-Fi', 'Adult Cast', 'Music', ' ', ' ', ' ']",Toei Animation
JoJo no Kimyou na Bouken (TV),7,"['Action', 'Adventure', 'Supernatural', 'Vampire', 'Shounen', ' ', ' ', ' ']",David Production
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,7,"['Action', 'Adventure', 'Supernatural', 'Shounen', ' ', ' ', ' ', ' ']",David Production
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8,"['Action', 'Adventure', 'Supernatural', 'Shounen', ' ', ' ', ' ', ' ']",David Production
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,9,"['Action', 'Adventure', 'Supernatural', 'Shounen', ' ', ' ', ' ', ' ']",David Production
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,9,"['Action', 'Adventure', 'Supernatural', 'Organized Crime', 'Shounen', ' ', ' ', ' ']",David Production
JoJo no Kimyou na Bouken Part 6: Stone Ocean,8,"['Action', 'Adventure', 'Supernatural', 'Shounen', ' ', ' ', ' ', ' ']",David Production
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,8,"['Action', 'Adventure', 'Supernatural', 'Shounen', ' ', ' ', ' ', ' ']",David Production
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,10,"['Action', 'Adventure', 'Supernatural', 'Shounen', ' ', ' ', ' ', ' ']",David Production
Josee to Tora to Sakana-tachi,7,"['Drama', 'Romance', 'Visual Arts', ' ', ' ', ' ', ' ', ' ']",Bones
Jujutsu Kaisen,7,"['Action', 'Award Winning', 'Fantasy', 'School', 'Shounen', ' ', ' ', ' ']",MAPPA
Jujutsu Kaisen 0 Movie,7,"['Action', 'Fantasy', 'School', 'Shounen', ' ', ' ', ' ', ' ']",MAPPA
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,9,"['Comedy', 'Drama', 'Romance', 'School', 'Seinen', ' ', ' ', ' ']",A-1 Pictures
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8,"['Comedy', 'Psychological', 'Romantic Subtext', 'School', 'Seinen', ' ', ' ', ' ']",A-1 Pictures
Kaguya-sama wa Kokurasetai: Ultra Romantic,9,"['Comedy', 'Romance', 'School', 'Seinen', ' ', ' ', ' ', ' ']",A-1 Pictures
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8,"['Comedy', 'Psychological', 'Romantic Subtext', 'School', 'Seinen', ' ', ' ', ' ']",A-1 Pictures
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,5,"['Comedy', 'Ecchi', 'Romantic Subtext', 'School', 'Seinen', ' ', ' ', ' ']",A-1 Pictures
